id,redemption_status
3,0.021605952857647
4,0.0032763143127609922
5,0.023221539854429558
8,0.00031957188353914153
10,0.0008253322477246118
12,0.00045371641384308914
13,0.00888930579858497
16,0.0007374717763299852
18,0.000488383862037938
31,0.004952704445716572
36,0.0030821570557539716
37,0.00022054292258136626
38,0.0015364518600350383
40,0.00034483453259243746
41,0.0004343338495075131
44,0.006645933445521409
47,0.003513062614412747
49,0.00046819347599335004
50,0.0030181205199666405
53,0.0012088788937177773
57,0.0011353693751977403
59,0.00198329610447851
60,0.004432900112150852
64,0.00047448338325733943
67,0.00012793257328446117
68,0.002885948621721804
70,0.0025691505704641196
73,0.0013157159177957423
76,0.000177633091619204
78,0.0009120181781439666
81,0.007388385924484273
87,0.0010730975951924611
89,0.0003138620970459654
94,0.0011047010982783133
96,0.0026021005170589213
98,0.007140941397006816
100,0.0005808455785549467
105,0.0011000843239674849
108,0.0004686839691023695
109,0.0007780640055727274
111,0.00032213587879899666
112,0.002100153664490121
114,0.004981259193777314
116,0.002809828711220457
119,0.006485201899550536
120,0.00046698752262370953
126,0.000873813547222732
127,0.0007653629282901961
128,0.0006365124978030661
132,0.00017425344447909792
133,0.0002147546856430419
138,0.0004160477893448746
140,0.007226128128037144
143,0.0035264562366226363
145,0.0006560672975988512
147,0.0022620438894577974
148,0.000596395432639699
149,0.019652409030114948
150,0.0012692152388220025
153,0.0002697916716418652
157,0.00020100313194803656
162,0.0005173109800350786
163,0.00012266978469647265
166,0.00015239785998737133
168,0.0015845743468440444
173,0.002504788667317956
174,0.0002411334934819136
175,0.0032848481801914563
177,0.0018022343946063675
178,0.00032296602178075455
185,0.0001706680023148955
189,0.0059970366497448845
190,0.00013474113343992124
191,9.069342993438752e-05
199,0.23687907772081607
201,0.0028209165599832184
203,0.0008101096389564345
204,0.013595496413346208
210,0.014089690214786033
211,0.00018063535687867874
212,0.0008594298120693882
216,0.00031584438194761624
223,0.04207088629948682
226,0.009986647377263685
227,0.09712769573290966
229,0.006678664762938452
232,0.0001929593893188172
234,0.00035306645347164725
235,0.0002565437267452052
236,0.009319989688685349
237,0.0008836833883133218
244,0.00032066923359462237
245,0.000256431089744455
246,0.00496255622338026
248,0.00017771793905846514
249,0.010943287313890993
251,0.0019956709546575272
252,0.0013858350338857251
253,0.002422229436254582
256,0.0006276766460677194
257,0.0008015900655318744
258,0.0002961198177156781
263,0.0013604199888255842
268,0.0006879027737117047
271,0.00022218618190490312
272,0.002780902805336634
274,0.0037417809699512327
276,0.00025107099165670206
278,0.00016496607177421638
280,0.0006194222431486213
281,0.0017381022539177241
285,0.0009648877187217349
288,0.0005887249816139341
289,0.001981162076368483
294,0.00012022234440059836
296,0.019356152687400423
297,0.0004414079138545774
300,0.00026673496864989003
302,0.012687668935460333
303,0.001387092260075003
310,0.00021063567090836183
311,0.002574797844055178
312,0.00023799916568152313
314,0.0007164551683392802
315,0.0005128301896993799
319,0.0005743899260515423
323,0.0005070134430485665
324,0.029579946490866947
327,0.005623043233021018
333,0.00045180085665989464
334,0.00020551137227168008
338,0.0003602053550076177
339,0.0006814586443178028
340,0.001577830619655667
341,0.0019841644485654158
344,0.00835452720037918
348,0.0013536834399716434
349,0.003751265114466331
